,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
36077,k5_LYJGnLSawGfjxt_OGxg,Downtown Crawlers,600 N Ashley Dr,Tampa,PA,33602,27.9488248,-82.4615671,4.5,10,1,"{'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'Smoking': ""u'outdoor'"", 'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HappyHour': 'True', 'GoodForDancing': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'NoiseLevel': ""u'loud'"", 'CoatCheck': 'True', 'HasTV': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '1', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Arts & Entertainment, Beer Tours, Party & Event Planning, Social Clubs, Hotels & Travel, Tours, Bar Crawl, Event Planning & Services, Nightlife, Bars, Club Crawl, Festivals","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-23:30', 'Saturday': '9:0-23:30', 'Sunday': '9:0-21:0'}"
36095,Rnh7bmBw4BqtWR2yybWtEA,Springfield Ford Lincoln,50 Baltimore Pike,Springfield,NV,19064,39.9245404051,-75.3138780331,3.5,64,1,"{'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Auto Parts & Supplies, Body Shops, Car Dealers, Hotels & Travel, Auto Repair, Automotive, Car Rental","{'Monday': '9:0-15:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-17:0'}"
36141,mNoWdkdKKhQRwpAvZWPQvw,Clarion Inn & Suites Central Clearwater Beach,20967 US 19 N,Clearwater,PA,33765,27.9628564,-82.7289221,2.0,54,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36206,-bbQKRo6kP8p_FKjm4xu0g,Bayside Inn,11365 Gulf Blvd,Treasure Is,FL,33706,27.7735229,-82.7729605,3.0,17,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
36215,HJrhes6zyTP-UDhsC3_tfQ,Baymont by Wyndham O'Fallon St. Louis Area,1320 Park Plaza Drive,OFallon,FL,62269,38.5874822,-89.9443746,3.5,11,1,{'BusinessAcceptsCreditCards': 'True'},"Hotels, Event Planning & Services, Hotels & Travel",
36278,SAZLcxlWX8D7RIAvDR1kpA,Gulf Winds Resort,6800 Sunset Way,St. Pete Beach,AZ,33706,27.7368985,-82.7508436,3.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False'}","Event Planning & Services, Hotels, Resorts, Hotels & Travel, Condominiums, Home Services, Real Estate",
36284,SOq849VSjt1VB6fZinqPYg,Red Roof Inn Philadelphia - Oxford Valley,3100 Cabot Blvd W,Langhorne,FL,19047,40.1906642441,-74.8670449338,2.5,38,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-23:59', 'Tuesday': '0:0-23:59', 'Wednesday': '0:0-23:59', 'Thursday': '0:0-23:59', 'Friday': '0:0-23:59', 'Saturday': '0:0-23:59', 'Sunday': '0:0-23:59'}"
36329,GZpuE4gSgogaYbBy4ilU-Q,Aldie Mansion,85 Old Dublin Pike,Doylestown,PA,18901,40.3243185,-75.1343616,4.5,13,1,{'BusinessAcceptsCreditCards': 'True'},"Hotels & Travel, Venues & Event Spaces, Event Planning & Services, Tours","{'Monday': '10:0-17:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
36361,yM-yQ1u68d_ePTxI6d0dcw,Hampton Inn Philadelphia/King Of Prussia - Valley Forge,530 W Dekalb Pike,King of Prussia,IN,19406,40.08998,-75.379073,3.0,53,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36373,Y9Z5B9R5QJH2sRfqtYzRiA,National Car Rental,500 James Fowler Rd,Santa Barbara,PA,93117,34.42566,-119.83482,4.5,12,1,,"Hotels & Travel, Car Rental","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-18:0'}"
36423,jY8pZdhEQATs28mqApl8aw,Hawthorn Suites By Wyndham St. Louis Westport Plaza,1881 Craigshire Rd,St. Louis,AZ,63146,38.6921964936,-90.448170211,2.0,29,1,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36440,T__2zxuIY4k-FxDBa8vGfg,The Loop Trolley Company,5875 Delmar Blvd,St Louis,AB,63112,38.6548299353,-90.2897600457,3.0,6,1,"{'WiFi': ""u'no'""}","Active Life, Transportation, Public Transportation, Hotels & Travel",
36447,0atrthcpxRQ3MiwgSY3zYg,Boise Army Navy Store,4924 W Chinden Blvd,Garden City,PA,83714,43.641464,-116.264792,3.5,9,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': 'None', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True'}","Recreation Centers, Hotels & Travel, Hiking, Sporting Goods, Outdoor Gear, Campgrounds, Leisure Centers, Shopping, Summer Camps, Military Surplus, Boating, Rafting/Kayaking, Active Life","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '11:0-17:0'}"
36475,86I1pXLUy01lZ9UFnpM8_A,Diamond Limousine,"13601 W McMillan Rd, Ste 102-194",Boise,IL,83713,43.6478132,-116.3520364,5.0,7,1,{'BusinessAcceptsCreditCards': 'True'},"Hotels & Travel, Airport Shuttles, Limos, Transportation, Party Bus Rentals, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36529,l5HRfT1HH1gYAKZpgBhLtA,Frankford Transportation Center,5200 Frankford Ave,Philadelphia,FL,19124,40.022584,-75.078303,2.0,11,1,,"Transportation, Public Transportation, Hotels & Travel",
36530,s2yucc5Fhh4g4whXHOBLdA,iGlidenola!,506 Conti St,New Orleans,FL,70130,29.954453,-90.0651113,5.0,14,0,{'GoodForKids': 'False'},"Hotels & Travel, Bike Rentals, Active Life, Tours","{'Monday': '9:0-21:30', 'Tuesday': '9:0-21:30', 'Wednesday': '9:0-21:30', 'Thursday': '9:0-21:30', 'Friday': '9:0-21:30', 'Saturday': '9:0-21:30', 'Sunday': '9:0-21:30'}"
36549,0Omp5nXAsjc5DnFNjgVY0w,Colebrookdale Railroad,100 S Chestnut St,Boyertown,ID,19512,40.3316754606,-75.6363779643,4.5,29,1,,"Hotels & Travel, Historical Tours, Tours","{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '17:0-21:0', 'Saturday': '9:0-19:0', 'Sunday': '9:0-18:0'}"
36559,3Cz4gsS8AT2a14jsMfqn4g,National Car Rental,760 Hangar Ln,Nashville,ID,37217,36.1195024,-86.6741078,3.5,12,1,,"Car Rental, Hotels & Travel",
36571,U8kTicB96I7oNj_onRv-Ow,Peter J. Camiel Travel Plaza,Milepost 3048,Elverson,AB,19520,40.1218728124,-75.7765433432,4.0,21,1,"{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True'}","Travel Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36584,_nwFy_M5EaGmEUrurpb3UA,La Quinta by Wyndham Boise Airport,2613 S. Vista Ave.,Boise,NJ,83705,43.5785194,-116.2145114,2.5,56,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36587,yayRBmUIVukcuAduT_7aWA,Cracker Country,4800 US Hwy 301 N,Tampa,ID,33610,27.9903452,-82.3590992,5.0,7,1,{'GoodForKids': 'True'},"Arts & Entertainment, Tours, Historical Tours, Museums, Hotels & Travel",
36664,tnPaOSLr3cfpWcW7dSnDiQ,Hyatt Place Indianapolis/Keystone,9104 Keystone Xing,Indianapolis,NV,46240,39.919734,-86.1095292,3.0,54,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels, Event Planning & Services, Hotels & Travel, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36704,kjjF25K1L1JbFwhZ4cbV9Q,Broadway & Backroads,,Nashville,ID,37203,36.1523805,-86.7893889,5.0,5,0,"{'WheelchairAccessible': 'False', 'RestaurantsTakeOut': 'False', 'HappyHour': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'WiFi': ""u'no'""}","Breweries, Brewpubs, Beer Tours, Tours, Transportation, Hotels & Travel, Distilleries, Wine Tours, Art Tours, Food, Bus Tours","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36730,QBHrDL-z54kvlYivdavMcQ,G's GroPro,,New Orleans,AB,70112,29.9595769,-90.0770127,5.0,7,0,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsTakeOut': 'False', 'WheelchairAccessible': 'False', 'DogsAllowed': 'False'}","Grocery, Hotels & Travel, Local Services, Food, Couriers & Delivery Services, Vacation Rentals, Food Delivery Services, Guest Houses","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}"
36745,WH_DZNs-vB0sx3K5-WOvDg,Free Beach Ride,4801 Gulf Blvd,Saint Pete Beach,CA,33706,27.7233519,-82.7399189,3.0,18,1,"{'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False', 'Smoking': ""'no'""}","Advertising, Professional Services, Hotels & Travel, Transportation, Public Transportation","{'Monday': '8:0-3:0', 'Tuesday': '8:0-3:0', 'Wednesday': '8:0-3:0', 'Thursday': '8:0-3:0', 'Friday': '8:0-3:0', 'Saturday': '8:0-3:0', 'Sunday': '8:0-3:0'}"
36766,JZU-zafwWrLixlmcMcqQ8A,Fairfield Inn & Suites Indianapolis - Avon,119 Angelina Way,Avon,FL,46123,39.7649283,-86.3603133,3.0,11,1,{'BusinessAcceptsCreditCards': 'True'},"Venues & Event Spaces, Hotels & Travel, Event Planning & Services, Guest Houses","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
36799,J2LDXe1AOxsIBIxUfQAGRg,Enterprise Rent-A-Car,302 Hermitage Ave,Nashville,PA,37210,36.1535933462,-86.7508497,2.0,5,1,,"Car Rental, Hotels & Travel","{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '9:0-12:0'}"
36811,3NObha3nErUqtucmcnUP5A,Buzz Nola Bike Tours & Rentals,214 Magazine St,New Orleans,PA,70130,29.9507734,-90.0673411,5.0,222,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'WheelchairAccessible': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'""}","Tours, Hotels & Travel, Bike tours, Active Life, Historical Tours, Bikes, Bike Rentals, Sporting Goods, Shopping","{'Monday': '9:30-16:30', 'Tuesday': '9:30-16:30', 'Wednesday': '9:30-16:30', 'Thursday': '9:30-16:30', 'Friday': '9:30-16:30', 'Saturday': '9:30-16:30', 'Sunday': '9:30-16:30'}"
36826,c9b_f47D-QdmfOTFWUGSgA,Days Inn by Wyndham Runnemede Philadelphia Area,101 East 9th Ave,Runnemede,NV,08078,39.8577410702,-75.0713898987,2.5,12,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","Event Planning & Services, Hotels & Travel, Hotels",
36835,8K9bSzG-Lm44LN7AwGI3LA,Mel-Dor Motel,5 Spring Garden Dr,New Berlinville,MO,19545,40.348111,-75.623614,3.5,8,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels & Travel, Event Planning & Services, Hotels",
36840,HC5IBKqrPyLEszOlK0nOlg,Dollar,100 Rental Blvd,Kenner,IN,70062,29.991,-90.256662,1.5,33,1,{'BusinessAcceptsCreditCards': 'True'},"Truck Rental, Automotive, Hotels & Travel, Car Rental",
36852,blH4mYCNzkla8XMxwnkaKg,Avis Rent A Car,33 N Capitol Ave,Indianapolis,PA,46204,39.7681707,-86.1611073,3.0,14,1,,"Car Rental, Hotels & Travel",
36901,LzYT0yuNDTFhu9MeFu8_EQ,6-T-7 Motel,11551 Pendleton Pike,Indianapolis,ID,46236,39.8677132074,-85.9620844199,1.0,5,1,{'RestaurantsPriceRange2': '1'},"Hotels & Travel, Hotels, Event Planning & Services",
36903,uSZyDtTtayIMhaWVpUfVMg,Hampton Inn & Suites Indianapolis-Airport,9020 Hatfield Dr,Indianapolis,IN,46241,39.6792731,-86.3220484,3.5,27,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36908,lU9fk1n_02bRd0vzeMBHSw,Corona Ranch Tucson,7595 E Snyder Rd,Tucson,PA,85750,32.294609469,-110.8304658051,3.5,7,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Venues & Event Spaces, Hotels, Event Planning & Services, Wedding Planning",
36918,TvBxBjed-iX6_22SwEYEFQ,Santa Barbara Wine Country Tours,32 E Haley St,Santa Barbara,PA,93101,34.4176801,-119.6943553,5.0,23,1,"{'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False'}","Wine Tours, Tours, Cupcakes, Food, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}"
36929,5rREnzfZJ3D2qx6K2L0gLA,ACE Rent A Car,"4707 140th Ave N, Ste 204",Clearwater,AZ,33762,27.8996533,-82.6974469,2.0,16,0,,"Car Rental, Hotels & Travel","{'Monday': '8:0-23:30', 'Tuesday': '8:0-23:30', 'Wednesday': '8:0-23:30', 'Thursday': '8:0-23:30', 'Friday': '8:0-23:30', 'Saturday': '8:0-23:30', 'Sunday': '8:0-23:30'}"
36955,78PoQlEaVkgoCAZfxfIszA,Maison de Lagniappe,1021 Kerlerec St,New Orleans,TN,70116,29.9663893,-90.0623933,5.0,6,0,"{'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel",
37033,TXIHq9b0fEHe5DPrw_oUSw,Hampton Inn & Suites St. Louis/Alton,1904 Homer M Adams Pkwy,Alton,IN,62002,38.9189061586,-90.1626491547,3.0,6,1,{'BusinessAcceptsCreditCards': 'True'},"Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37056,-esTQ3DICAj44W_akW32Sw,Americas Best Value Inns & Suites,3655 Pennridge Dr,Bridgeton,NV,63044,38.7607489,-90.433666,1.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'""}","Hotels & Travel, Hotels, Event Planning & Services",
37086,AHs1ZizUVBRTS61DrJ-QKg,Best Western Plus MidAmerica Hotel,9730 Hayden Dr,Mascoutah,AB,62258,38.5540214267,-89.812224,3.5,22,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37091,O3ulREMR1qM7TbtxL0sQ6Q,Cathay Xpress,1011 Arch St,Philadelphia,MO,19107,39.9539384228,-75.156795457,3.0,10,1,,"Tours, Local Services, Airports, Airport Shuttles, Hotels & Travel, Limos, Taxis, Transportation","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}"
37130,iwYvj1PEp7LmtWRAYWqojQ,Silverbell Inn,720 W Silverdale Rd,Tucson,FL,85713,32.200201,-110.980479,1.5,10,0,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Hotels, Event Planning & Services, Hostels",
37132,3Ce8r1K1O-2JKSMXdXID-w,Linvilla Orchards,137 W Knowlton Rd,Media,PA,19063,39.8841628,-75.4125789,3.5,405,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'GoodForKids': 'True'}","Fruits & Veggies, Farmers Market, Food, Pick Your Own Farms, Arts & Entertainment, Shopping, Tours, Specialty Food, Nurseries & Gardening, Farms, Hotels & Travel, Home & Garden","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-13:0', 'Saturday': '9:0-13:0', 'Sunday': '9:0-17:0'}"
37164,h0wHeh0hTt6Us4W-1SHQOw,Reno-Tahoe International Airport,2001 E Plumb Ln,Reno,FL,89502,39.5050485054,-119.7757894838,4.0,583,1,"{'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False'}","Transportation, Hotels & Travel, Airports, Airlines","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37165,uXuBxavZYWkkCnXmrzyINQ,Econo Lodge University,1136 N Stone Ave,Tucson,FL,85705,32.236778,-110.971213,1.5,20,1,"{'RestaurantsPriceRange2': '4', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37219,rcD0_uJvzc8Rtbt49rvHeA,Woldenberg Park,1 Canal St,New Orleans,FL,70130,29.9510013,-90.0630718,4.0,55,1,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False', 'GoodForKids': 'True'}","Aquariums, Hotels & Travel, Parks, Active Life, Tours",
37311,7eatPmjImT26p_Xf7YQiMA,Yellow Rose Carriages,1327 N Capitol Ave,Indianapolis,AB,46202,39.7854022,-86.1609086,4.0,10,1,,"Wedding Planning, Party & Event Planning, Hotels & Travel, Tours, Event Planning & Services, Horseback Riding, Active Life","{'Monday': '9:0-23:0', 'Tuesday': '9:0-23:0', 'Wednesday': '9:0-23:0', 'Thursday': '9:0-23:0', 'Friday': '9:0-0:30', 'Saturday': '9:0-0:30', 'Sunday': '9:0-23:0'}"
37335,n3w2c0mfXoxKXi6DU_hOfA,Home2 Suites by Hilton Largo,10145 Ulmerton Rd,Largo,TN,33771,27.8958415,-82.7794189,4.5,8,1,,"Venues & Event Spaces, Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37357,j1_nIeHKYuCZ05_Y1XEqSw,Beachside Taxi,310 S Canada St,Santa Barbara,PA,93103,34.422576,-119.670382,2.0,5,1,,"Airport Shuttles, Limos, Transportation, Taxis, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37383,XJP8dQMsjt_OUKl3ETVQLw,Comfort Inn New Orleans Airport South,10151 Airline Hwy,Saint Rose,PA,70087,29.976932,-90.285638,4.0,16,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37493,d44LYjJ0fwFm1JKhR95E4g,Enterprise Rent-A-Car,731 Cortaro Dr,Ruskin,PA,33573,27.7137898,-82.3697063,3.5,12,1,,"Car Rental, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-18:0', 'Saturday': '9:0-12:0'}"
37494,3YBHQGr2Ui_PDLGqBhPmYg,Quality Inn & Conference Center,531 Route 38 West,Maple Shade,NV,08052,39.943899,-74.982231,2.0,6,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels & Travel, Event Planning & Services, Self Storage, Hotels, Local Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
37521,VPxeyXTL9VatQt3FPa-YQg,Super 8 by Wyndham Indianapolis West,5241 W. Bradbury Ave,Indianapolis,IN,46241,39.7313443,-86.2482669,1.5,8,0,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel",
37524,84IHk4QP3jlGTzsEk4_1sg,Comfort Inn And Suites Nashville,2615 Elm Hill,Nashville,IN,37214,36.150944,-86.6752433,4.0,6,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels",
37531,Sir9FHQVMOugs-4L0fusRw,Hilton Brentwood/Nashville Suites,9000 Overlook Blvd,Brentwood,AZ,37027,36.0326309,-86.7808761,3.5,70,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False'}","Venues & Event Spaces, Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
